Chinese,Pinyin,English
的,de,of
一,yī,One
是,shì,Yes
不,bù,Do not
了,le,The
在,zài,in
人,rén,people
有,yǒu,Have
我,wǒ,I
他,tā,he
这,zhè,This
个,gè,More
们,men,They
中,zhōng,in
来,lái,Come
上,shàng,on
大,dà,Big
为,wèi,for
和,hé,with
国,guó,country
地,de,Ground
到,dào,To
以,yǐ,With
说,shuō,Say
时,shí,Time
要,yào,want
就,jiù,on
出,chū,Out
会,huì,meeting
可,kě,can
也,yě,and also
你,nǐ,you
对,duì,Correct
生,shēng,Raw
能,néng,can
而,ér,and
子,zi,child
那,nà,that
得,dé,Get
于,yú,in
着,zhe,The
下,xià,under
自,zì,from
之,zhī,It
年,nián,year
过,guò,Live
发,fā,hair
后,hòu,Rear
作,zuò,Make
里,lǐ,in
用,yòng,use
道,dào,Road
行,xíng,Row
所,suǒ,The
然,rán,However
家,jiā,Home
种,zhǒng,Kind
事,shì,thing
成,chéng,to make
方,fāng,square
多,duō,many
经,jīng,through
么,me,What
去,qù,go with
法,fǎ,law
学,xué,learn
如,rú,Such as
都,dōu,All
同,tóng,with
现,xiàn,Present
当,dāng,when
没,méi,No
动,dòng,move
面,miàn,surface
起,qǐ,Start
看,kàn,Look
定,dìng,set
天,tiān,day
分,fēn,Minute
还,hái,also
进,jìn,Enter
好,hǎo,Great
小,xiǎo,small
部,bù,unit
其,qí,its
些,xiē,some
主,zhǔ,the Lord
样,yàng,kind
理,lǐ,Reason
心,xīn,heart
她,tā,she was
本,běn,this
前,qián,before
开,kāi,open
但,dàn,but
因,yīn,because
只,zhǐ,only
从,cóng,From
想,xiǎng,miss you
实,shí,real
日,rì,day
者,zhě,By
意,yì,meaning
无,wú,no
力,lì,force
它,tā,it
与,yǔ,versus
长,zhǎng,long
把,bǎ,The
机,jī,machine
十,shí,ten
民,mín,people
第,dì,The first
公,gōng,public
此,cǐ,this
已,yǐ,Already
工,gōng,work
使,shǐ,Make
情,qíng,situation
明,míng,Bright
性,xìng,Sex
知,zhī,know
全,quán,all
三,sān,three
又,yòu,also
关,guān,turn off
点,diǎn,point
正,zhèng,positive
业,yè,industry
外,wài,outer
将,jiāng,will
两,liǎng,Two
高,gāo,high
间,jiān,between
由,yóu,by
问,wèn,ask
很,hěn,very
最,zuì,most
重,zhòng,weight
并,bìng,and
物,wù,Thing
手,shǒu,hand
应,yīng,should
向,xiàng,to
头,tóu,head
文,wén,Culture
体,tǐ,body
美,měi,nice
相,xiāng,phase
见,jiàn,see
被,bèi,Is
利,lì,Profit
什,shén,Assorted
二,èr,two
等,děng,Wait
或,huò,or
新,xīn,new
己,jǐ,already
身,shēn,body
果,guǒ,fruit
加,jiā,plus
西,xī,WEAT
月,yuè,month
话,huà,words
合,hé,Close
回,huí,Return
特,tè,special
内,nèi,Inside
信,xìn,letter
表,biǎo,table
化,huà,Of
老,lǎo,old
给,gěi,give
世,shì,world
位,wèi,Place
次,cì,Secondary
度,dù,degree
门,mén,door
任,rèn,Any
常,cháng,often
先,xiān,first
海,hǎi,sea
通,tōng,through
教,jiào,teach
儿,ér,child
原,yuán,original
东,dōng,east
声,shēng,sound
提,tí,mention
及,jí,and
比,bǐ,ratio
员,yuán,member
解,jiě,solution
水,shuǐ,water
名,míng,name
真,zhēn,true
论,lùn,s
处,chù,Office
走,zǒu,go
各,gè,each
入,rù,Enter
几,jǐ,a few
口,kǒu,mouth
认,rèn,recognize
条,tiáo,Article
平,píng,level
系,xì,system
气,qì,gas
题,tí,question
活,huó,live
尔,ěr,Seoul
更,gèng,more
别,bié,do not
打,dǎ,hit
女,nǚ,Female
变,biàn,change
四,sì,four
总,zǒng,total
何,hé,what
电,diàn,Electricity
数,shù,number
安,ān,Secure
少,shǎo,less
报,bào,Report
才,cái,only
结,jié,Knot
反,fǎn,anti-
受,shòu,Suffer
目,mù,Eye
太,tài,too
量,liàng,the amount
再,zài,again
感,gǎn,sense
建,jiàn,build
务,wù,Business
做,zuò,do
接,jiē,Meet
必,bì,must
场,chǎng,field
件,jiàn,Item
计,jì,meter
管,guǎn,tube
期,qī,period
市,shì,city
直,zhí,straight
资,zī,Capital
命,mìng,Life
山,shān,mountain
金,jīn,gold
指,zhǐ,Finger
克,kè,Gram
许,xǔ,Xu
区,qū,Area
保,bǎo,Insurance
至,zhì,to
队,duì,team
社,shè,Society
便,biàn,Then
空,kōng,air
决,jué,Decide
展,zhǎn,exhibition
马,mǎ,horse
科,kē,Family
司,sī,Department
五,wǔ,Fives
基,jī,base
眼,yǎn,eye
书,shū,book
非,fēi,non-
则,zé,then
听,tīng,listen
白,bái,White
却,què,but
界,jiè,Circles
光,guāng,Light
放,fàng,put
即,jí,which is
像,xiàng,Like
难,nán,difficult
且,qiě,And
思,sī,think
象,xiàng,Like
完,wán,Finish
式,shì,formula
色,sè,color
路,lù,road
记,jì,Remember
南,nán,south
住,zhù,live
告,gào,Tell
求,qiú,begging
据,jù,according to
程,chéng,Journey
北,běi,north
边,biān,side
死,sǐ,dead
张,zhāng,Zhang
该,gāi,That
交,jiāo,cross
规,guī,regulation
万,wàn,Ten thousand
取,qǔ,take
拉,lā,Pull
格,gé,grid
望,wàng,hope
觉,jué,feel
术,shù,Technique
共,gòng,Altogether
确,què,Indeed
传,chuán,pass
师,shī,division
观,guān,Watch
清,qīng,clear
今,jīn,this
切,qiè,cut
院,yuàn,hospital
让,ràng,yield
识,shí,knowledge
候,hòu,Wait
带,dài,band
导,dǎo,guide
争,zhēng,Fight
运,yùn,Transport
笑,xiào,laugh
飞,fēi,fly
风,fēng,wind
步,bù,step
改,gǎi,change
收,shōu,Receive
根,gēn,root
干,gàn,dry
言,yán,Speech
联,lián,United
持,chí,hold
每,měi,each
济,jì,Aid
车,chē,car
亲,qīn,Dear
极,jí,pole
林,lín,forest
服,fú,clothes
快,kuài,fast
办,bàn,do
议,yì,Discuss
往,wǎng,to
元,yuán,yuan
士,shì,Scholar
证,zhèng,certificate
近,jìn,near
失,shī,Lose
转,zhuǎn,turn
夫,fū,husband
准,zhǔn,quasi-
始,shǐ,beginning
怎,zěn,How
呢,ne,It
存,cún,Deposit
远,yuǎn,far
叫,jiào,call
台,tái,station
单,dān,single
影,yǐng,shadow
具,jù,Equipment
字,zì,word
爱,ài,Love
流,liú,flow
备,bèi,Equipment
连,lián,even
调,diào,Tone
深,shēn,deep
商,shāng,Business
算,suàn,Count
质,zhì,quality
百,bǎi,hundred
需,xū,need
价,jià,price
花,huā,flower
城,chéng,city
级,jí,level
整,zhěng,whole
离,lí,from
况,kuàng,condition
亚,yà,Asia
请,qǐng,please
技,jì,Skill
际,jì,The occasion
约,yuē,approximately
示,shì,Show
复,fù,complex
病,bìng,disease
息,xī,interest
究,jiū,Investigate
线,xiàn,line
火,huǒ,fire
断,duàn,Break
精,jīng,fine
满,mǎn,full
支,zhī,support
视,shì,Regard
消,xiāo,Eliminate
越,yuè,More
容,róng,Allow
照,zhào,Photo
须,xū,Must
九,jiǔ,nine
增,zēng,increase
研,yán,research
写,xiě,write
八,bā,Eight
功,gōng,Gong
吗,ma,It
包,bāo,package
片,piàn,sheet
史,shǐ,history
乎,hū,Down
查,chá,check
轻,qīng,light
易,yì,easy
早,zǎo,early
除,chú,except
找,zhǎo,Find
广,guǎng,wide
吧,ba,It
阿,ā,A
李,lǐ,Plum
标,biāo,Mark
谈,tán,talk
吃,chī,eat
图,tú,Map
六,liù,six
引,yǐn,lead
历,lì,calendar
首,shǒu,first
医,yī,medical
局,jú,Office
突,tū,sudden
专,zhuān,Special
费,fèi,fee
号,hào,number
尽,jǐn,Exhausted
另,lìng,another
周,zhōu,week
较,jiào,Relatively
注,zhù,Note
语,yǔ,language
仅,jǐn,only
考,kǎo,test
落,luò,drop
随,suí,Follow
选,xuǎn,selected
列,liè,Row
红,hóng,red
响,xiǎng,ring
虽,suī,although
推,tuī,Push
参,cān,Ginseng
希,xī,hope
众,zhòng,Many
房,fáng,room
半,bàn,half
节,jié,Festival
案,àn,case
黑,hēi,black
划,huà,Draw
律,lǜ,law
足,zú,foot
态,tài,state
护,hù,Protect
七,qī,Seven
兴,xìng,Interest
孩,hái,child
验,yàn,Test
责,zé,responsibility
星,xīng,star
够,gòu,enough
章,zhāng,chapter
音,yīn,sound
跟,gēn,with
志,zhì,Mark
底,dǐ,bottom
站,zhàn,station
严,yán,strict
例,lì,example
族,zú,Clan
供,gōng,for
效,xiào,effect
续,xù,Continue
留,liú,stay
讲,jiǎng,speak
料,liào,material
终,zhōng,end
答,dá,answer
紧,jǐn,tight
黄,huáng,yellow
绝,jué,Absolutely
奇,qí,odd
察,chá,Observe
母,mǔ,mother
京,jīng,Beijing
段,duàn,segment
批,pī,Batch
故,gù,Therefore
按,àn,press
河,hé,River
米,mǐ,Meter
围,wéi,Enclose
江,jiāng,River
害,hài,harm
双,shuāng,double
境,jìng,territory
客,kè,customer
纪,jì,discipline
举,jǔ,Move
父,fù,father
密,mì,dense
低,dī,low
友,yǒu,Friendly
诉,sù,Complaint
止,zhǐ,only
细,xì,fine
愿,yuàn,willing
千,qiān,thousand
值,zhí,value
仍,réng,still
男,nán,male
钱,qián,money
破,pò,broken
网,wǎng,network
热,rè,heat
助,zhù,help
倒,dào,inverted
育,yù,Educate
坐,zuò,sit
船,chuán,ferry
脸,liǎn,face
职,zhí,Office
速,sù,speed
刻,kè,engraved
乐,lè,fun
否,fǒu,no
刚,gāng,just
毛,máo,hair
甚,shén,very
球,qiú,ball
般,bān,Sort
普,pǔ,general
怕,pà,afraid
弹,dàn,bomb
校,xiào,school
苦,kǔ,bitter
假,jiǎ,false
久,jiǔ,Long
错,cuò,wrong
印,yìn,Print
晚,wǎn,late
试,shì,test
拿,ná,take
脑,nǎo,brain
预,yù,Advance
谁,shuí,Who
阳,yáng,Positive
哪,nǎ,where
微,wēi,micro-
继,jì,Continue
送,sòng,give away
急,jí,anxious
惊,jīng,shock
伤,shāng,hurt
药,yào,medicine
适,shì,suitable
省,shěng,province
喜,xǐ,like
卫,wèi,guard
险,xiǎn,risk
习,xí,Study
居,jū,House
环,huán,ring
排,pái,row
福,fú,blessing
欢,huān,Joyous
警,jǐng,police
获,huò,Obtain
负,fù,negative
云,yún,cloud
停,tíng,stop
游,yóu,tour
树,shù,tree
疑,yí,suspect
层,céng,Floor
冷,lěng,cold
洲,zhōu,Continent
竟,jìng,actually
句,jù,sentence
室,shì,room
激,jī,Stimulate
汉,hàn,Chinese
演,yǎn,play
简,jiǎn,simple
卡,kǎ,card
判,pàn,Sentence
担,dān,Dan
静,jìng,Quiet
既,jì,Already
衣,yī,clothes
您,nín,you
积,jī,product
检,jiǎn,Check
差,chà,difference
富,fù,rich
角,jiǎo,angle
占,zhàn,Take up
修,xiū,repair
皮,pí,skin
降,jiàng,drop
坚,jiān,Firm
妈,mā,mom
读,dú,read
啊,a,what
超,chāo,ultra
免,miǎn,Avoid
压,yā,Press
银,yín,silver
买,mǎi,buy
养,yǎng,support
怀,huái,Bosom
乱,luàn,Disorderly
帮,bāng,help
岁,suì,year old
航,háng,Boat
优,yōu,excellent
怪,guài,strange
香,xiāng,Fragrant
著,zhe,The
铁,tiě,iron
左,zuǒ,left
右,yòu,right
份,fèn,Part
穿,chuān,wear
艺,yì,art
草,cǎo,grass
脚,jiǎo,foot
概,gài,General
块,kuài,Piece
敢,gǎn,dare
酒,jiǔ,liqueur
户,hù,Household
洋,yáng,foreign
哥,gē,brother
款,kuǎn,paragraph
评,píng,Review
座,zuò,seat
释,shì,release
景,jǐng,view
顾,gù,Attend
弟,dì,younger brother
登,dēng,Ascend
货,huò,goods
互,hù,mutual
付,fù,pay
慢,màn,slow
换,huàn,change
闻,wén,smell
危,wēi,Danger
忙,máng,busy
姐,jiě,sister
介,jiè,Introduction
坏,huài,Bad
讨,tǎo,discuss
丽,lì,Korea
序,xù,sequence
亮,liàng,bright
永,yǒng,Forever
呼,hū,call
味,wèi,taste
沙,shā,sand
掉,diào,Fall
鱼,yú,fish
杂,zá,miscellaneous
误,wù,error
减,jiǎn,Less
楚,chǔ,Chu
肯,kěn,Willing
败,bài,defeat
跑,pǎo,run
梦,mèng,dream
散,sàn,Scatter
温,wēn,temperature
困,kùn,sleepy
封,fēng,seal
贵,guì,expensive
缺,quē,lack
楼,lóu,floor
朋,péng,Friend
画,huà,painting
班,bān,class
耳,ěr,ear
短,duǎn,short
恐,kǒng,fear
松,sōng,loose
谢,xiè,thank
遇,yù,Encounter
康,kāng,Kang
虑,lǜ,consider
幸,xìng,Fortunately
钟,zhōng,bell
赶,gǎn,Rush
剧,jù,drama
票,piào,ticket
旧,jiù,old
叶,yè,leaf
春,chūn,spring
附,fù,Attached
吸,xī,Suck
礼,lǐ,ceremony
雨,yǔ,rain
呀,ya,Yeah
板,bǎn,board
睛,jīng,eye
饭,fàn,rice
顺,shùn,Along
输,shū,lose
招,zhāo,trick
婚,hūn,marriage
脱,tuō,Take off
油,yóu,oil
旅,lǚ,trip
材,cái,material
笔,bǐ,pen
鲜,xiān,fresh
词,cí,word
择,zé,select
睡,shuì,sleep
博,bó,Rich
烟,yān,smoke
授,shòu,Award
卖,mài,Sell
健,jiàn,Healthy
旁,páng,beside
喝,hē,drink
借,jiè,borrow
禁,jìn,ban
阴,yīn,yin
园,yuán,garden
孙,sūn,Grandson
牙,yá,tooth
束,shù,bundle
跳,tiào,jump
雪,xuě,snow
午,wǔ,Noon
练,liàn,practice
爷,yé,Father
篇,piān,Piece
肉,ròu,meat
嘴,zuǐ,mouth
馆,guǎn,House
遍,biàn,all over
础,chǔ,foundation
牛,niú,Cattle
纸,zhǐ,paper
翻,fān,turn
森,sēn,Forest
默,mò,silent
戏,xì,play
熟,shú,Ripe
歌,gē,song
店,diàn,shop
典,diǎn,Code
伙,huǒ,Partner
盘,pán,plate
爸,bà,dad
弄,nòng,do
忘,wàng,forget
赛,sài,Competition
趣,qù,interest
刀,dāo,Knife
床,chuáng,bed
迎,yíng,welcome
冰,bīng,ice
玩,wán,play
窗,chuāng,window
醒,xǐng,wake
妻,qī,wife
购,gòu,purchase
努,nǔ,Strive
休,xiū,Rest
虎,hǔ,tiger
扬,yáng,Raise
绿,lǜ,green
毕,bì,complete
尤,yóu,especially
竞,jìng,Contest
街,jiē,street
弃,qì,abandoned
麻,má,hemp
申,shēn,Shen
售,shòu,Sell
灯,dēng,light
针,zhēn,needle
抱,bào,hold
鼓,gǔ,drum
植,zhí,plant
夏,xià,summer
页,yè,page
折,zhé,fold
尊,zūn,Honor
秀,xiù,Beautiful
染,rǎn,dye
舞,wǔ,dance
姓,xìng,name
秋,qiū,autumn
迷,mí,fan
诚,chéng,Honest
末,mò,end
彩,cǎi,color
抽,chōu,Draw
妹,mèi,sister
浪,làng,wave
丰,fēng,Abundant
蓝,lán,blue
桌,zhuō,table
译,yì,Translate
汽,qì,steam
烧,shāo,burn
距,jù,distance
符,fú,symbol
勇,yǒng,Brave
课,kè,class
哭,kū,cry
懂,dǒng,understand
厅,tīng,hall
拜,bài,worship
巧,qiǎo,Opportunely
冒,mào,Risk
惯,guàn,used
戴,dài,wore
童,tóng,child
乘,chéng,Multiply
挂,guà,hang
奖,jiǎng,prize
绍,shào,Introduce
厚,hòu,thick
丈,zhàng,Husband
洗,xǐ,wash
镜,jìng,mirror
唱,chàng,sing
烦,fán,bother
签,qiān,sign
牌,pái,brand
鸟,niǎo,bird
咱,zán,we
菜,cài,dish
奋,fèn,Fen
茶,chá,tea
播,bō,broadcast
奶,nǎi,milk
季,jì,season
狗,gǒu,dog
宜,yí,should
桥,qiáo,bridge
寒,hán,cold
聚,jù,Gather
袋,dài,bag
累,lèi,tired
暂,zàn,temporarily
估,gū,estimate
拒,jù,Refuse
忆,yì,Recall
鼻,bí,nose
闹,nào,Noisy
羊,yáng,sheep
厉,lì,Severe
零,líng,zero
穷,qióng,poor
码,mǎ,code
腿,tuǐ,leg
偶,ǒu,I
稍,shāo,a little
迟,chí,late
辆,liàng,Vehicles
净,jìng,net
冬,dōng,winter
矿,kuàng,mine
抬,tái,lift
蛋,dàn,egg
鸡,jī,Chickens
倍,bèi,Time
杯,bēi,cup
租,zū,rent
骑,qí,ride
污,wū,Sewage
耐,nài,Resistance
粗,cū,Crude
叔,shū,uncle
爬,pá,climb
悉,xī,Noted
扫,sǎo,sweep
详,xiáng,detailed
允,yǔn,allow
剩,shèng,Surplus
箱,xiāng,box
漫,màn,Overflow
酸,suān,acid
舒,shū,Shu
辛,xīn,Xin
餐,cān,meal
挺,tǐng,very
励,lì,Encourage
键,jiàn,key
昨,zuó,Yesterday
扰,rǎo,Harass
阅,yuè,read
汗,hàn,sweat
骗,piàn,cheat
龄,líng,age
惜,xī,Xi
宾,bīn,Guest
颜,yán,Color
绩,jī,Merit
漂,piào,drift
饮,yǐn,drink
朵,duǒ,Flowers
仔,zǐ,kid
俩,liǎ,both
籍,jí,membership
凉,liáng,cool
貌,mào,appearance
猜,cāi,guess
怜,lián,pity
躺,tǎng,lie down
钢,gāng,steel
寄,jì,send
汤,tāng,soup
肥,féi,fat
尝,cháng,taste
厌,yàn,Tired of
脏,zàng,dirty
幽,yōu,quiet
鞋,xié,shoe
丢,diū,throw
泉,quán,spring
祝,zhù,wish
邮,yóu,mail
邻,lín,adjacent
椅,yǐ,chair
陪,péi,accompany
聪,cōng,Clever
梯,tī,ladder
猫,māo,Cat
贺,hè,Congratulate
琴,qín,Qin
瓶,píng,bottle
恼,nǎo,angry
疼,téng,pain
敲,qiāo,knock
熊,xióng,Bear
暖,nuǎn,warm
糖,táng,sugar
帽,mào,cap
擦,cā,rub
炼,liàn,Refine
搬,bān,move
肤,fū,skin
肚,dù,tripe
刷,shuā,brush
瓜,guā,melon
赢,yíng,win
瘦,shòu,thin
址,zhǐ,site
悔,huǐ,regret
邀,yāo,invite
羽,yǔ,feather
斤,jīn,jin
盐,yán,salt
傅,fù,Fu
帅,shuài,Shuai
胖,pàng,fat
扔,rēng,throw
饿,è,hungry
聊,liáo,chat
碗,wǎn,bowl
傲,ào,proud
拾,shí,pickup
晴,qíng,clear
填,tián,fill
渴,kě,thirsty
扮,bàn,Play
愉,yú,Discovery
喂,wèi,Hey
慕,mù,Admire
饱,bǎo,full
甜,tián,sweet
矮,ǎi,short
秒,miǎo,second
塑,sù,Model
羞,xiū,shame
盒,hé,box
裤,kù,pants
棵,kē,Trees
谅,liàng,Forgive
葡,pú,Grape
厨,chú,kitchen
鸭,yā,duck
谊,yì,friendship
歉,qiàn,apologize
衫,shān,Shirt
赚,zhuàn,earn
伞,sǎn,umbrella
萄,táo,Grapes
脾,pí,spleen
懒,lǎn,lazy
骄,jiāo,arrogant
聘,pìn,Engage
巾,jīn,towel
堵,dǔ,Blocking
姨,yí,aunt
棒,bàng,Baton
硕,shuò,large
戚,qī,Qi
笨,bèn,stupid
啡,fēi,coffee
泼,pō,splash
刮,guā,scratch
郊,jiāo,Suburb
篮,lán,basket
饼,bǐng,cake
咳,hāi,cough
咖,kā,coffee
桶,tǒng,barrel
糕,gāo,cake
辣,là,hot
裙,qún,skirt
膊,bó,shoulder
踢,tī,kick
趟,tàng,trip
匙,shi,"key, spoon"
苹,píng,apple
钥,yào,key
胳,gē,armpit
衬,chèn,lining
咸,xián,salty
锻,duàn,Wrought
汁,zhī,juice
泳,yǒng,swimming
垃,lā,garbage
烤,kǎo,grilled
圾,jī,Rubbish
铅,qiān,lead
逛,guàng,visit
膏,gāo,paste
澡,zǎo,bath
羡,xiàn,envy
暑,shǔ,heat
嗽,sòu,cough
啤,pí,beer
橡,xiàng,oak
厕,cè,toilet
袜,wà,Sock
蕉,jiāo,banana
筷,kuài,chopsticks
勺,sháo,Spoon
柿,shì,persimmon
乒,pīng,Table tennis
乓,pāng,Bang
饺,jiǎo,dumpling