,English,Pinyin,Chinese
0,of,de,的
1,One,yī,一
2,Yes,shì,是
3,Do not,bù,不
4,The,le,了
5,in,zài,在
6,people,rén,人
7,Have,yǒu,有
8,I,wǒ,我
9,he,tā,他
10,This,zhè,这
11,More,gè,个
12,They,men,们
13,in,zhōng,中
14,Come,lái,来
15,on,shàng,上
16,Big,dà,大
17,for,wèi,为
18,with,hé,和
19,country,guó,国
20,Ground,de,地
21,To,dào,到
22,With,yǐ,以
23,Say,shuō,说
24,Time,shí,时
25,want,yào,要
26,on,jiù,就
27,Out,chū,出
28,meeting,huì,会
29,can,kě,可
30,and also,yě,也
31,you,nǐ,你
32,Correct,duì,对
33,Raw,shēng,生
34,can,néng,能
35,and,ér,而
36,child,zi,子
37,that,nà,那
38,Get,dé,得
39,in,yú,于
40,The,zhe,着
41,under,xià,下
42,from,zì,自
43,It,zhī,之
44,year,nián,年
45,Live,guò,过
46,hair,fā,发
47,Rear,hòu,后
48,Make,zuò,作
49,in,lǐ,里
50,use,yòng,用
51,Road,dào,道
52,Row,xíng,行
53,The,suǒ,所
54,However,rán,然
55,Home,jiā,家
56,Kind,zhǒng,种
57,thing,shì,事
58,to make,chéng,成
59,square,fāng,方
60,many,duō,多
61,through,jīng,经
62,What,me,么
63,go with,qù,去
64,law,fǎ,法
65,learn,xué,学
66,Such as,rú,如
67,All,dōu,都
68,with,tóng,同
69,Present,xiàn,现
70,when,dāng,当
71,No,méi,没
72,move,dòng,动
73,surface,miàn,面
74,Start,qǐ,起
75,Look,kàn,看
76,set,dìng,定
77,day,tiān,天
78,Minute,fēn,分
79,also,hái,还
80,Enter,jìn,进
81,Great,hǎo,好
82,small,xiǎo,小
83,unit,bù,部
84,its,qí,其
85,some,xiē,些
86,the Lord,zhǔ,主
87,kind,yàng,样
88,Reason,lǐ,理
89,heart,xīn,心
90,she was,tā,她
91,this,běn,本
92,before,qián,前
93,open,kāi,开
94,but,dàn,但
95,because,yīn,因
96,only,zhǐ,只
97,From,cóng,从
98,miss you,xiǎng,想
99,real,shí,实
100,day,rì,日
101,By,zhě,者
102,meaning,yì,意
103,no,wú,无
104,force,lì,力
105,it,tā,它
106,versus,yǔ,与
107,long,zhǎng,长
108,The,bǎ,把
109,machine,jī,机
110,ten,shí,十
111,people,mín,民
112,The first,dì,第
113,public,gōng,公
114,this,cǐ,此
115,Already,yǐ,已
116,work,gōng,工
117,Make,shǐ,使
118,situation,qíng,情
119,Bright,míng,明
120,Sex,xìng,性
121,know,zhī,知
122,all,quán,全
123,three,sān,三
124,also,yòu,又
125,turn off,guān,关
126,point,diǎn,点
127,positive,zhèng,正
128,industry,yè,业
129,outer,wài,外
130,will,jiāng,将
131,Two,liǎng,两
132,high,gāo,高
133,between,jiān,间
134,by,yóu,由
135,ask,wèn,问
136,very,hěn,很
137,most,zuì,最
138,weight,zhòng,重
139,and,bìng,并
140,Thing,wù,物
141,should,yīng,应
142,to,xiàng,向
143,head,tóu,头
144,Culture,wén,文
145,body,tǐ,体
146,phase,xiāng,相
147,see,jiàn,见
148,Is,bèi,被
149,Profit,lì,利
150,Assorted,shén,什
151,two,èr,二
152,Wait,děng,等
153,or,huò,或
154,new,xīn,新
155,already,jǐ,己
156,body,shēn,身
157,fruit,guǒ,果
158,plus,jiā,加
159,WEAT,xī,西
160,month,yuè,月
161,words,huà,话
162,Close,hé,合
163,special,tè,特
164,Inside,nèi,内
165,letter,xìn,信
166,table,biǎo,表
167,Of,huà,化
168,old,lǎo,老
169,give,gěi,给
170,world,shì,世
171,Place,wèi,位
172,Secondary,cì,次
173,degree,dù,度
174,door,mén,门
175,Any,rèn,任
176,often,cháng,常
177,first,xiān,先
178,sea,hǎi,海
179,through,tōng,通
180,teach,jiào,教
181,child,ér,儿
182,original,yuán,原
183,east,dōng,东
184,sound,shēng,声
185,mention,tí,提
186,and,jí,及
187,ratio,bǐ,比
188,member,yuán,员
189,solution,jiě,解
190,water,shuǐ,水
191,name,míng,名
192,true,zhēn,真
193,s,lùn,论
194,Office,chù,处
195,each,gè,各
196,Enter,rù,入
197,a few,jǐ,几
198,mouth,kǒu,口
199,recognize,rèn,认
200,Article,tiáo,条
201,level,píng,平
202,system,xì,系
203,gas,qì,气
204,question,tí,题
205,live,huó,活
206,Seoul,ěr,尔
207,more,gèng,更
208,do not,bié,别
209,hit,dǎ,打
210,Female,nǚ,女
211,change,biàn,变
212,four,sì,四
213,total,zǒng,总
214,what,hé,何
215,Electricity,diàn,电
216,number,shù,数
217,Secure,ān,安
218,less,shǎo,少
219,Report,bào,报
220,only,cái,才
221,Knot,jié,结
222,anti-,fǎn,反
223,Suffer,shòu,受
224,Eye,mù,目
225,too,tài,太
226,the amount,liàng,量
227,again,zài,再
228,sense,gǎn,感
229,build,jiàn,建
230,Business,wù,务
231,do,zuò,做
232,Meet,jiē,接
233,field,chǎng,场
234,Item,jiàn,件
235,meter,jì,计
236,tube,guǎn,管
237,period,qī,期
238,city,shì,市
239,straight,zhí,直
240,Capital,zī,资
241,Life,mìng,命
242,gold,jīn,金
243,Finger,zhǐ,指
244,Gram,kè,克
245,Xu,xǔ,许
246,Area,qū,区
247,Insurance,bǎo,保
248,to,zhì,至
249,team,duì,队
250,Society,shè,社
251,Then,biàn,便
252,air,kōng,空
253,Decide,jué,决
254,exhibition,zhǎn,展
255,horse,mǎ,马
256,Family,kē,科
257,Department,sī,司
258,Fives,wǔ,五
259,base,jī,基
260,eye,yǎn,眼
261,book,shū,书
262,non-,fēi,非
263,then,zé,则
264,listen,tīng,听
265,White,bái,白
266,but,què,却
267,Circles,jiè,界
268,Light,guāng,光
269,put,fàng,放
270,which is,jí,即
271,Like,xiàng,像
272,difficult,nán,难
273,And,qiě,且
274,think,sī,思
275,Like,xiàng,象
276,Finish,wán,完
277,formula,shì,式
278,color,sè,色
279,road,lù,路
280,Remember,jì,记
281,south,nán,南
282,live,zhù,住
283,Tell,gào,告
284,begging,qiú,求
285,according to,jù,据
286,north,běi,北
287,side,biān,边
288,dead,sǐ,死
289,Zhang,zhāng,张
290,That,gāi,该
291,cross,jiāo,交
292,regulation,guī,规
293,Ten thousand,wàn,万
294,take,qǔ,取
295,Pull,lā,拉
296,grid,gé,格
297,hope,wàng,望
298,feel,jué,觉
299,Technique,shù,术
300,Altogether,gòng,共
301,Indeed,què,确
302,pass,chuán,传
303,division,shī,师
304,Watch,guān,观
305,clear,qīng,清
306,this,jīn,今
307,cut,qiè,切
308,hospital,yuàn,院
309,yield,ràng,让
310,knowledge,shí,识
311,Wait,hòu,候
312,band,dài,带
313,guide,dǎo,导
314,Fight,zhēng,争
315,Transport,yùn,运
316,laugh,xiào,笑
317,fly,fēi,飞
318,wind,fēng,风
319,step,bù,步
320,change,gǎi,改
321,Receive,shōu,收
322,root,gēn,根
323,dry,gàn,干
324,Speech,yán,言
325,United,lián,联
326,hold,chí,持
327,each,měi,每
328,Aid,jì,济
329,car,chē,车
330,Dear,qīn,亲
331,pole,jí,极
332,forest,lín,林
333,clothes,fú,服
334,fast,kuài,快
335,do,bàn,办
336,Discuss,yì,议
337,to,wǎng,往
338,yuan,yuán,元
339,Scholar,shì,士
340,certificate,zhèng,证
341,near,jìn,近
342,Lose,shī,失
343,husband,fū,夫
344,quasi-,zhǔn,准
345,beginning,shǐ,始
346,How,zěn,怎
347,It,ne,呢
348,Deposit,cún,存
349,far,yuǎn,远
350,call,jiào,叫
351,station,tái,台
352,single,dān,单
353,shadow,yǐng,影
354,Equipment,jù,具
355,word,zì,字
356,Love,ài,爱
357,flow,liú,流
358,Equipment,bèi,备
359,even,lián,连
360,Tone,diào,调
361,deep,shēn,深
362,Business,shāng,商
363,Count,suàn,算
364,quality,zhì,质
365,hundred,bǎi,百
366,need,xū,需
367,price,jià,价
368,flower,huā,花
369,city,chéng,城
370,level,jí,级
371,whole,zhěng,整
372,from,lí,离
373,condition,kuàng,况
374,Asia,yà,亚
375,please,qǐng,请
376,Skill,jì,技
377,The occasion,jì,际
378,approximately,yuē,约
379,Show,shì,示
380,complex,fù,复
381,disease,bìng,病
382,interest,xī,息
383,Investigate,jiū,究
384,line,xiàn,线
385,fire,huǒ,火
386,Break,duàn,断
387,fine,jīng,精
388,full,mǎn,满
389,support,zhī,支
390,Regard,shì,视
391,Eliminate,xiāo,消
392,More,yuè,越
393,Allow,róng,容
394,Photo,zhào,照
395,Must,xū,须
396,nine,jiǔ,九
397,increase,zēng,增
398,research,yán,研
399,write,xiě,写
400,Eight,bā,八
401,Gong,gōng,功
402,It,ma,吗
403,package,bāo,包
404,sheet,piàn,片
405,history,shǐ,史
406,Down,hū,乎
407,check,chá,查
408,light,qīng,轻
409,easy,yì,易
410,early,zǎo,早
411,except,chú,除
412,Find,zhǎo,找
413,wide,guǎng,广
414,It,ba,吧
415,A,ā,阿
416,Plum,lǐ,李
417,Mark,biāo,标
418,talk,tán,谈
419,eat,chī,吃
420,Map,tú,图
421,six,liù,六
422,lead,yǐn,引
423,calendar,lì,历
424,first,shǒu,首
425,medical,yī,医
426,Office,jú,局
427,sudden,tū,突
428,Special,zhuān,专
429,fee,fèi,费
430,number,hào,号
431,Exhausted,jǐn,尽
432,another,lìng,另
433,week,zhōu,周
434,Relatively,jiào,较
435,Note,zhù,注
436,language,yǔ,语
437,only,jǐn,仅
438,test,kǎo,考
439,drop,luò,落
440,Follow,suí,随
441,selected,xuǎn,选
442,Row,liè,列
443,red,hóng,红
444,ring,xiǎng,响
445,although,suī,虽
446,Push,tuī,推
447,Ginseng,cān,参
448,hope,xī,希
449,Many,zhòng,众
450,room,fáng,房
451,half,bàn,半
452,Festival,jié,节
453,case,àn,案
454,black,hēi,黑
455,Draw,huà,划
456,law,lǜ,律
457,foot,zú,足
458,state,tài,态
459,Protect,hù,护
460,Seven,qī,七
461,Interest,xìng,兴
462,child,hái,孩
463,Test,yàn,验
464,responsibility,zé,责
465,star,xīng,星
466,enough,gòu,够
467,chapter,zhāng,章
468,sound,yīn,音
469,with,gēn,跟
470,Mark,zhì,志
471,bottom,dǐ,底
472,strict,yán,严
473,example,lì,例
474,Clan,zú,族
475,for,gōng,供
476,effect,xiào,效
477,Continue,xù,续
478,stay,liú,留
479,speak,jiǎng,讲
480,material,liào,料
481,end,zhōng,终
482,answer,dá,答
483,tight,jǐn,紧
484,yellow,huáng,黄
485,Absolutely,jué,绝
486,odd,qí,奇
487,Observe,chá,察
488,mother,mǔ,母
489,Beijing,jīng,京
490,segment,duàn,段
491,Batch,pī,批
492,Therefore,gù,故
493,press,àn,按
494,River,hé,河
495,Meter,mǐ,米
496,Enclose,wéi,围
497,River,jiāng,江
498,harm,hài,害
499,double,shuāng,双
500,territory,jìng,境
501,customer,kè,客
502,discipline,jì,纪
503,Move,jǔ,举
504,father,fù,父
505,dense,mì,密
506,low,dī,低
507,Friendly,yǒu,友
508,Complaint,sù,诉
509,only,zhǐ,止
510,fine,xì,细
511,willing,yuàn,愿
512,thousand,qiān,千
513,value,zhí,值
514,still,réng,仍
515,male,nán,男
516,money,qián,钱
517,broken,pò,破
518,network,wǎng,网
519,heat,rè,热
520,help,zhù,助
521,inverted,dào,倒
522,Educate,yù,育
523,sit,zuò,坐
524,ferry,chuán,船
525,face,liǎn,脸
526,Office,zhí,职
527,speed,sù,速
528,engraved,kè,刻
529,fun,lè,乐
530,no,fǒu,否
531,just,gāng,刚
532,hair,máo,毛
533,very,shén,甚
534,ball,qiú,球
535,Sort,bān,般
536,general,pǔ,普
537,afraid,pà,怕
538,bomb,dàn,弹
539,school,xiào,校
540,bitter,kǔ,苦
541,false,jiǎ,假
542,Long,jiǔ,久
543,wrong,cuò,错
544,Print,yìn,印
545,late,wǎn,晚
546,test,shì,试
547,take,ná,拿
548,brain,nǎo,脑
549,Advance,yù,预
550,Who,shuí,谁
551,Positive,yáng,阳
552,where,nǎ,哪
553,micro-,wēi,微
554,Continue,jì,继
555,give away,sòng,送
556,anxious,jí,急
557,shock,jīng,惊
558,hurt,shāng,伤
559,medicine,yào,药
560,suitable,shì,适
561,province,shěng,省
562,like,xǐ,喜
563,guard,wèi,卫
564,risk,xiǎn,险
565,Study,xí,习
566,House,jū,居
567,ring,huán,环
568,row,pái,排
569,blessing,fú,福
570,Joyous,huān,欢
571,police,jǐng,警
572,Obtain,huò,获
573,negative,fù,负
574,cloud,yún,云
575,stop,tíng,停
576,tour,yóu,游
577,tree,shù,树
578,suspect,yí,疑
579,Floor,céng,层
580,cold,lěng,冷
581,Continent,zhōu,洲
582,actually,jìng,竟
583,sentence,jù,句
584,room,shì,室
585,Stimulate,jī,激
586,Chinese,hàn,汉
587,play,yǎn,演
588,simple,jiǎn,简
589,card,kǎ,卡
590,Sentence,pàn,判
591,Quiet,jìng,静
592,Already,jì,既
593,clothes,yī,衣
594,you,nín,您
595,product,jī,积
596,Check,jiǎn,检
597,difference,chà,差
598,rich,fù,富
599,angle,jiǎo,角
600,Take up,zhàn,占
601,repair,xiū,修
602,skin,pí,皮
603,drop,jiàng,降
604,Firm,jiān,坚
605,mom,mā,妈
606,read,dú,读
607,what,a,啊
608,ultra,chāo,超
609,Avoid,miǎn,免
610,Press,yā,压
611,silver,yín,银
612,buy,mǎi,买
613,support,yǎng,养
614,Bosom,huái,怀
615,Disorderly,luàn,乱
616,help,bāng,帮
617,year old,suì,岁
618,Boat,háng,航
619,excellent,yōu,优
620,strange,guài,怪
621,Fragrant,xiāng,香
622,The,zhe,著
623,iron,tiě,铁
624,left,zuǒ,左
625,right,yòu,右
626,Part,fèn,份
627,wear,chuān,穿
628,art,yì,艺
629,grass,cǎo,草
630,foot,jiǎo,脚
631,General,gài,概
632,Piece,kuài,块
633,dare,gǎn,敢
634,liqueur,jiǔ,酒
635,Household,hù,户
636,foreign,yáng,洋
637,brother,gē,哥
638,paragraph,kuǎn,款
639,Review,píng,评
640,seat,zuò,座
641,release,shì,释
642,view,jǐng,景
643,Attend,gù,顾
644,younger brother,dì,弟
645,Ascend,dēng,登
646,goods,huò,货
647,mutual,hù,互
648,pay,fù,付
649,slow,màn,慢
650,change,huàn,换
651,smell,wén,闻
652,Danger,wēi,危
653,busy,máng,忙
654,sister,jiě,姐
655,Introduction,jiè,介
656,Bad,huài,坏
657,discuss,tǎo,讨
658,Korea,lì,丽
659,sequence,xù,序
660,bright,liàng,亮
661,Forever,yǒng,永
662,call,hū,呼
663,taste,wèi,味
664,sand,shā,沙
665,Fall,diào,掉
666,fish,yú,鱼
667,miscellaneous,zá,杂
668,error,wù,误
669,Less,jiǎn,减
670,Chu,chǔ,楚
671,Willing,kěn,肯
672,defeat,bài,败
673,run,pǎo,跑
674,dream,mèng,梦
675,Scatter,sàn,散
676,temperature,wēn,温
677,sleepy,kùn,困
678,seal,fēng,封
679,expensive,guì,贵
680,lack,quē,缺
681,floor,lóu,楼
682,Friend,péng,朋
683,painting,huà,画
684,class,bān,班
685,ear,ěr,耳
686,short,duǎn,短
687,fear,kǒng,恐
688,loose,sōng,松
689,thank,xiè,谢
690,Encounter,yù,遇
691,Kang,kāng,康
692,consider,lǜ,虑
693,Fortunately,xìng,幸
694,bell,zhōng,钟
695,Rush,gǎn,赶
696,drama,jù,剧
697,ticket,piào,票
698,old,jiù,旧
699,leaf,yè,叶
700,spring,chūn,春
701,Attached,fù,附
702,Suck,xī,吸
703,ceremony,lǐ,礼
704,rain,yǔ,雨
705,Yeah,ya,呀
706,board,bǎn,板
707,eye,jīng,睛
708,rice,fàn,饭
709,Along,shùn,顺
710,lose,shū,输
711,trick,zhāo,招
712,marriage,hūn,婚
713,Take off,tuō,脱
714,oil,yóu,油
715,trip,lǚ,旅
716,material,cái,材
717,pen,bǐ,笔
718,fresh,xiān,鲜
719,word,cí,词
720,select,zé,择
721,sleep,shuì,睡
722,Rich,bó,博
723,smoke,yān,烟
724,Award,shòu,授
725,Sell,mài,卖
726,Healthy,jiàn,健
727,beside,páng,旁
728,drink,hē,喝
729,borrow,jiè,借
730,ban,jìn,禁
731,yin,yīn,阴
732,garden,yuán,园
733,Grandson,sūn,孙
734,tooth,yá,牙
735,bundle,shù,束
736,jump,tiào,跳
737,snow,xuě,雪
738,Noon,wǔ,午
739,practice,liàn,练
740,Father,yé,爷
741,Piece,piān,篇
742,meat,ròu,肉
743,mouth,zuǐ,嘴
744,House,guǎn,馆
745,all over,biàn,遍
746,foundation,chǔ,础
747,Cattle,niú,牛
748,paper,zhǐ,纸
749,turn,fān,翻
750,Forest,sēn,森
751,silent,mò,默
752,play,xì,戏
753,Ripe,shú,熟
754,song,gē,歌
755,shop,diàn,店
756,Code,diǎn,典
757,Partner,huǒ,伙
758,plate,pán,盘
759,dad,bà,爸
760,do,nòng,弄
761,forget,wàng,忘
762,Competition,sài,赛
763,interest,qù,趣
764,Knife,dāo,刀
765,bed,chuáng,床
766,welcome,yíng,迎
767,ice,bīng,冰
768,play,wán,玩
769,window,chuāng,窗
770,wake,xǐng,醒
771,wife,qī,妻
772,purchase,gòu,购
773,Strive,nǔ,努
774,Rest,xiū,休
775,tiger,hǔ,虎
776,Raise,yáng,扬
777,green,lǜ,绿
778,complete,bì,毕
779,especially,yóu,尤
780,Contest,jìng,竞
781,street,jiē,街
782,abandoned,qì,弃
783,hemp,má,麻
784,Shen,shēn,申
785,Sell,shòu,售
786,light,dēng,灯
787,needle,zhēn,针
788,hold,bào,抱
789,drum,gǔ,鼓
790,plant,zhí,植
791,summer,xià,夏
792,page,yè,页
793,fold,zhé,折
794,Honor,zūn,尊
795,Beautiful,xiù,秀
796,dye,rǎn,染
797,dance,wǔ,舞
798,name,xìng,姓
799,autumn,qiū,秋
800,fan,mí,迷
801,Honest,chéng,诚
802,end,mò,末
803,color,cǎi,彩
804,Draw,chōu,抽
805,sister,mèi,妹
806,wave,làng,浪
807,Abundant,fēng,丰
808,blue,lán,蓝
809,table,zhuō,桌
810,Translate,yì,译
811,steam,qì,汽
812,burn,shāo,烧
813,distance,jù,距
814,symbol,fú,符
815,Brave,yǒng,勇
816,class,kè,课
817,cry,kū,哭
818,understand,dǒng,懂
819,hall,tīng,厅
820,worship,bài,拜
821,Opportunely,qiǎo,巧
822,Risk,mào,冒
823,used,guàn,惯
824,wore,dài,戴
825,child,tóng,童
826,Multiply,chéng,乘
827,hang,guà,挂
828,prize,jiǎng,奖
829,Introduce,shào,绍
830,thick,hòu,厚
831,Husband,zhàng,丈
832,wash,xǐ,洗
833,mirror,jìng,镜
834,sing,chàng,唱
835,bother,fán,烦
836,sign,qiān,签
837,brand,pái,牌
838,bird,niǎo,鸟
839,we,zán,咱
840,dish,cài,菜
841,Fen,fèn,奋
842,tea,chá,茶
843,broadcast,bō,播
844,milk,nǎi,奶
845,season,jì,季
846,dog,gǒu,狗
847,should,yí,宜
848,bridge,qiáo,桥
849,cold,hán,寒
850,Gather,jù,聚
851,bag,dài,袋
852,tired,lèi,累
853,temporarily,zàn,暂
854,estimate,gū,估
855,Refuse,jù,拒
856,Recall,yì,忆
857,nose,bí,鼻
858,Noisy,nào,闹
859,sheep,yáng,羊
860,Severe,lì,厉
861,zero,líng,零
862,poor,qióng,穷
863,code,mǎ,码
864,leg,tuǐ,腿
865,I,ǒu,偶
866,a little,shāo,稍
867,late,chí,迟
868,Vehicles,liàng,辆
869,net,jìng,净
870,winter,dōng,冬
871,mine,kuàng,矿
872,lift,tái,抬
873,egg,dàn,蛋
874,Chickens,jī,鸡
875,Time,bèi,倍
876,cup,bēi,杯
877,rent,zū,租
878,ride,qí,骑
879,Sewage,wū,污
880,Resistance,nài,耐
881,Crude,cū,粗
882,uncle,shū,叔
883,climb,pá,爬
884,Noted,xī,悉
885,sweep,sǎo,扫
886,detailed,xiáng,详
887,allow,yǔn,允
888,Surplus,shèng,剩
889,box,xiāng,箱
890,Overflow,màn,漫
891,acid,suān,酸
892,Shu,shū,舒
893,Xin,xīn,辛
894,meal,cān,餐
895,very,tǐng,挺
896,Encourage,lì,励
897,key,jiàn,键
898,Yesterday,zuó,昨
899,Harass,rǎo,扰
900,read,yuè,阅
901,sweat,hàn,汗
902,cheat,piàn,骗
903,age,líng,龄
904,Xi,xī,惜
905,Guest,bīn,宾
906,Color,yán,颜
907,drink,yǐn,饮
908,Flowers,duǒ,朵
909,kid,zǐ,仔
910,both,liǎ,俩
911,membership,jí,籍
912,cool,liáng,凉
913,appearance,mào,貌
914,guess,cāi,猜
915,pity,lián,怜
916,lie down,tǎng,躺
917,steel,gāng,钢
918,send,jì,寄
919,soup,tāng,汤
920,fat,féi,肥
921,taste,cháng,尝
922,Tired of,yàn,厌
923,dirty,zàng,脏
924,quiet,yōu,幽
925,shoe,xié,鞋
926,throw,diū,丢
927,spring,quán,泉
928,wish,zhù,祝
929,mail,yóu,邮
930,adjacent,lín,邻
931,chair,yǐ,椅
932,accompany,péi,陪
933,Clever,cōng,聪
934,ladder,tī,梯
935,Cat,māo,猫
936,Congratulate,hè,贺
937,Qin,qín,琴
938,bottle,píng,瓶
939,angry,nǎo,恼
940,pain,téng,疼
941,knock,qiāo,敲
942,Bear,xióng,熊
943,warm,nuǎn,暖
944,sugar,táng,糖
945,cap,mào,帽
946,rub,cā,擦
947,Refine,liàn,炼
948,move,bān,搬
949,skin,fū,肤
950,tripe,dù,肚
951,brush,shuā,刷
952,melon,guā,瓜
953,win,yíng,赢
954,thin,shòu,瘦
955,site,zhǐ,址
956,regret,huǐ,悔
957,invite,yāo,邀
958,feather,yǔ,羽
959,jin,jīn,斤
960,salt,yán,盐
961,Fu,fù,傅
962,Shuai,shuài,帅
963,fat,pàng,胖
964,throw,rēng,扔
965,hungry,è,饿
966,chat,liáo,聊
967,bowl,wǎn,碗
968,proud,ào,傲
969,pickup,shí,拾
970,clear,qíng,晴
971,fill,tián,填
972,thirsty,kě,渴
973,Play,bàn,扮
974,Discovery,yú,愉
975,Hey,wèi,喂
976,Admire,mù,慕
977,full,bǎo,饱
978,sweet,tián,甜
979,short,ǎi,矮
980,second,miǎo,秒
981,Model,sù,塑
982,shame,xiū,羞
983,box,hé,盒
984,pants,kù,裤
985,Trees,kē,棵
986,Forgive,liàng,谅
987,Grape,pú,葡
988,kitchen,chú,厨
989,duck,yā,鸭
990,friendship,yì,谊
991,apologize,qiàn,歉
992,Shirt,shān,衫
993,earn,zhuàn,赚
994,umbrella,sǎn,伞
995,Grapes,táo,萄
996,spleen,pí,脾
997,lazy,lǎn,懒
998,arrogant,jiāo,骄
999,Engage,pìn,聘
1000,towel,jīn,巾
1001,Blocking,dǔ,堵
1002,aunt,yí,姨
1003,Baton,bàng,棒
1004,large,shuò,硕
1005,Qi,qī,戚
1006,coffee,fēi,啡
1007,splash,pō,泼
1008,scratch,guā,刮
1009,Suburb,jiāo,郊
1010,basket,lán,篮
1011,cake,bǐng,饼
1012,cough,hāi,咳
1013,coffee,kā,咖
1014,barrel,tǒng,桶
1015,cake,gāo,糕
1016,hot,là,辣
1017,skirt,qún,裙
1018,shoulder,bó,膊
1019,kick,tī,踢
1020,trip,tàng,趟
1021,"key, spoon",shi,匙
1022,key,yào,钥
1023,armpit,gē,胳
1024,lining,chèn,衬
1025,salty,xián,咸
1026,Wrought,duàn,锻
1027,juice,zhī,汁
1028,swimming,yǒng,泳
1029,garbage,lā,垃
1030,grilled,kǎo,烤
1031,Rubbish,jī,圾
1032,lead,qiān,铅
1033,visit,guàng,逛
1034,paste,gāo,膏
1035,bath,zǎo,澡
1036,envy,xiàn,羡
1037,heat,shǔ,暑
1038,cough,sòu,嗽
1039,beer,pí,啤
1040,oak,xiàng,橡
1041,toilet,cè,厕
1042,Sock,wà,袜
1043,banana,jiāo,蕉
1044,chopsticks,kuài,筷
1045,Spoon,sháo,勺
1046,persimmon,shì,柿
1047,Table tennis,pīng,乒
1048,Bang,pāng,乓
1049,dumpling,jiǎo,饺
